,FID,FID_1,FID_,TA_DATE,TRACKID,Name,Shape_Leng,Distance,LATITUDE,LONGITUDE,TA_DATE2,ZTIME,LOCALTIME,ORBIT_NAME,FLAG_TRUE_
0,0,2358,5437,Fri Sep  1 17:33:17 2017,SENTINEL-2A_40697,RELATIVE ORBIT 26,0.858412250715,0.00694651,-67.8948975,-127.4499969,2017-09-01 17:33:17,-8,2017-09-01 09:33:17,R026,1
1,1,4736,11355,Fri Sep  1 19:15:02 2017,SENTINEL-2A_40697,RELATIVE ORBIT 27,1.0274244830200001,0.00856903,-71.2694016,-157.4620056,2017-09-01 19:15:02,-10,2017-09-01 09:15:02,R027,1
2,2,14222,34647,Sat Sep  2 01:58:33 2017,SENTINEL-2A_40697,RELATIVE ORBIT 31,1.26315607813,0.00665459,-73.49510189999998,97.5098038,2017-09-02 01:58:33,7,2017-09-02 08:58:33,R031,1
3,3,16583,40272,Sat Sep  2 03:37:13 2017,SENTINEL-2A_40697,RELATIVE ORBIT 32,0.820032038397,0.00554056,-67.0373001,82.50520319999998,2017-09-02 03:37:13,6,2017-09-02 09:37:13,R032,1
4,4,18955,46204,Sat Sep  2 05:19:02 2017,SENTINEL-2A_40697,RELATIVE ORBIT 33,0.992249142464,0.00925925,-70.6529999,52.5026016,2017-09-02 05:19:02,4,2017-09-02 09:19:02,R033,1
5,5,21312,52117,Sat Sep  2 07:00:34 2017,SENTINEL-2A_40697,RELATIVE ORBIT 34,1.20669584331,0.01078241,-73.2506027,22.5237999,2017-09-02 07:00:34,2,2017-09-02 09:00:34,R034,1
6,6,23669,57819,Sat Sep  2 08:39:10 2017,SENTINEL-2A_40697,RELATIVE ORBIT 35,0.80331942482,0.00495716,-66.552803,7.51717,2017-09-02 08:39:10,1,2017-09-02 09:39:10,R035,1
7,7,26025,63700,Sat Sep  2 10:21:01 2017,SENTINEL-2A_40697,RELATIVE ORBIT 36,0.960242347642,0.0076474,-70.2899017,-22.4563999,2017-09-02 10:21:01,-1,2017-09-02 09:21:01,R036,1
8,8,28375,69479,Sat Sep  2 12:02:34 2017,SENTINEL-2A_40697,RELATIVE ORBIT 37,1.15532493156,0.00757876,-72.95310209999998,-52.3703995,2017-09-02 12:02:34,-3,2017-09-02 09:02:34,R037,1
9,9,30719,75219,Sat Sep  2 13:41:07 2017,SENTINEL-2A_40697,RELATIVE ORBIT 38,0.80331942482,0.00456987,-66.066597,-67.4906998,2017-09-02 13:41:07,-4,2017-09-02 09:41:07,R038,1
10,10,33092,81141,Sat Sep  2 15:23:00 2017,SENTINEL-2A_40697,RELATIVE ORBIT 39,0.960242347642,0.00726951,-69.9257965,-97.4352036,2017-09-02 15:23:00,-6,2017-09-02 09:23:00,R039,1
11,11,35452,87033,Sat Sep  2 17:04:36 2017,SENTINEL-2A_40697,RELATIVE ORBIT 40,1.15532493156,0.01016879,-72.75689699999998,-127.4929962,2017-09-02 17:04:36,-8,2017-09-02 09:04:36,R040,1
12,12,37844,92838,Sat Sep  2 18:45:59 2017,SENTINEL-2A_40697,RELATIVE ORBIT 41,1.39331010387,0.01068199,-74.8124008,-157.4720001,2017-09-02 18:45:59,-10,2017-09-02 08:45:59,R041,1
13,13,40216,98621,Sat Sep  2 20:24:59 2017,SENTINEL-2A_40697,RELATIVE ORBIT 42,0.931111400703,0.00820479,-69.5596008,-172.4309998,2017-09-02 20:24:59,-11,2017-09-02 09:24:59,R042,1
14,14,47443,115978,Sun Sep  3 01:26:58 2017,SENTINEL-2A_40697,RELATIVE ORBIT 45,0.904587414074,0.00711726,-69.1920013,112.5569992,2017-09-03 01:26:58,8,2017-09-03 09:26:58,R045,1
15,15,49806,121863,Sun Sep  3 03:08:37 2017,SENTINEL-2A_40697,RELATIVE ORBIT 46,1.10859358896,0.010007,-72.2062988,82.5373993,2017-09-03 03:08:37,6,2017-09-03 09:08:37,R046,1
16,16,52320,127771,Sun Sep  3 04:50:02 2017,SENTINEL-2A_40697,RELATIVE ORBIT 47,1.32518951221,0.00973407,-74.3859024,52.5954018,2017-09-03 04:50:02,4,2017-09-03 08:50:02,R047,1
